,channel_id,channel_video_count,recommended_count,videos_as_source,ratio
0,UC63ge2hWbcPIBJq3ImPCkrw,56,0,0,0.0
1,UC2wrXSZMid7OiCVwCfVpHiA,38,7,1,0.18421052631578946
2,UCycaROGreWZ5zjsn3s73pKQ,199,6,4,0.03015075376884422
3,UCdXC9Q6oXD39vl4Jt-hT38g,0,0,0,-1.0
4,UCiVFJiVl-GBPfmahaPZ4Hew,49,14,0,0.2857142857142857
5,UCW7LVZbuiGRNfVbd1viiqYA,4,0,0,0.0
6,UC10q23Me8SgH2iOsF5MAqaw,0,0,0,-1.0
7,UCWiuBhV324dYp-VVg3ye6eQ,0,0,0,-1.0
8,UCcxgVL9N3No5ekpikYc1toQ,14,0,12,0.0
9,UCuYN15i2J_gETGamUAjEIWA,469,468,21,0.997867803837953
10,UCi3SriXyPwOVyzwKlITjgxA,0,0,0,-1.0
11,UCNFlKkZsBd02AIUD3RQUPXg,0,0,0,-1.0
12,UCseGV3amBLISlIOMQodPfVQ,19,235,1,12.368421052631579
13,UChSBqxwkojyVQ7SZAPygOWA,34,13,14,0.38235294117647056
14,UCuPPPjRV7WyRGnfjK7_rvpA,70,70,17,1.0
15,UCGr1_inQrunfAm3uGuTHEvg,0,0,0,-1.0
16,UCMwi-apDa26FqdZ3aNK-A4A,0,0,0,-1.0
17,UCn2A7WWm6r46-0XpZpv2Rkw,0,0,0,-1.0
18,UCtUBSLBp2wBYN4ckR-CiJWw,151,0,0,0.0
19,UCYCmez_d6n2BwhKPO809eRA,44,0,0,0.0
20,UCEpcAtDkyYJht97HsqUHbCw,267,17,15,0.06367041198501873
21,UCI3BV-Vk0B_bOWJ2xp53ITA,3,0,0,0.0
22,UCQPzxXyRKxkqk5mnNEBEKYg,0,0,0,-1.0
23,UCZbdncNmEbphJQHW5tpi8sA,11,0,0,0.0
24,UCZfhXkNU0VkwTBK0Sv83uFA,0,0,0,-1.0
25,UCzB4XvWgVlXFI4ljbQXzmwA,55,122,1,2.2181818181818183
26,UCiNHnQIQlv_EMkX3h24daOA,4,10,0,2.5
27,UCfpeukshVGi8yM3dh9w5z4A,15,0,0,0.0
28,UCbpstbsVLEmVp6rDByx9DhQ,1,0,0,0.0
29,UC4OHk_5MYu_QZ5HQmUUzUYQ,26,2,0,0.07692307692307693
30,UC38_Fg9HQ5HsPHX6U5y239g,146,401,14,2.7465753424657535
31,UCBpSbjzYAb5suUAHD-IaHcQ,15,0,0,0.0
32,UCBx_2HkT0w8ESW58_NrB-1w,220,108,15,0.4909090909090909
33,UClvd7lWzzpLES1r0khoQeXw,0,0,0,-1.0
34,UCMv3JDApx1_ho6DvH0BQtRQ,32,0,0,0.0
35,UCgk2_ngj9EVfQdnWNtOPINg,75,248,13,3.3066666666666666
36,UCK1TdGB78zp6Rl6L4RK-hWg,9,5,0,0.5555555555555556
37,UCOuIgj0CYCXCvjWywjDbauw,33,207,0,6.2727272727272725
38,UCry3W4oTOIn6E9H1y0_EFnw,22,0,0,0.0
39,UCiHx0oUCPHImeWfrdw1rbnQ,136,128,5,0.9411764705882353
40,UCVsMQmhMSj521lFSdXn5Pag,28,1,0,0.03571428571428571
41,UC2eua0fxcWR5ce1uC3h3J5w,161,28,9,0.17391304347826086
42,UC39EygSePQOHyRA6xu_NLLg,2,1,0,0.5
43,UCNkigtFEaHDPi7SqR9hLwVA,0,0,0,-1.0
44,UCkiIklV0Nk46kCreyY47wzQ,114,0,0,0.0
45,UCwamokvn8ynE7Tp3oarOIFg,14,0,0,0.0
46,UCtBZnQ0hzKfgaOrwSMsqavw,19,13,4,0.6842105263157895
47,UCbJ7NE_CBVloB8cO3iDbnJg,25,2,0,0.08
48,UCYP6V7c4M026AXMr4ng6aQA,23,1937,0,84.21739130434783
49,UCXSIrYVg3bR7w-ZEuGftD8A,8,0,0,0.0
50,UCzkvdLzgFecbUBRdgPX3RLg,199,325,22,1.6331658291457287
51,UCMrkGXHiTg644GoZ2YKNDZA,30,2,0,0.06666666666666667
52,UCyJaT7xSZw_926Z1NcCqg6Q,102,140,0,1.3725490196078431
